DISTS,energy
,0.55,-37.43879480
,0.60,-38.02554288
,0.70,-38.78574352
,0.80,-39.20606755
,0.90,-39.43115875
,1.00,-39.54139889
,1.10,-39.58469797
,1.20,-39.59167688
,1.30,-39.57646481
,1.40,-39.55084454
,1.50,-39.52065570
,1.60,-39.48902767
,1.70,-39.45755623
,1.80,-39.42707473
,1.90,-39.39805776
,2.00,-39.37079443
,2.10,-39.34546330
,2.20,-39.32216711
,2.30,-39.30094850
,2.40,-39.28179655
,2.50,-39.26465465
,2.60,-39.24943210
,2.70,-39.23601669
,2.80,-39.22428335
,2.90,-39.21410000
,3.00,-39.20533175
,3.10,-39.19784586
,3.20,-39.19151571
,3.30,-39.18622358
,3.40,-39.18186224
,3.50,-39.17833523
