     1,25;   -40,18592119;   -40,34885172;
     1,50;   -40,14158018;   -40,30678357;
     1,75;   -40,09272074;   -40,26051175;
     2,00;   -40,04819993;   -40,21954835;
     2,25;   -40,00974659;   -40,18605313;
     2,50;   -39,97709940;   -40,16001996;
     2,75;   -39,94954299;   -40,14086352;
     3,00;   -39,92630092;   -40,12787896;
     3,25;   -39,90668179;   -40,12038773;
     3,50;   -39,89015031;   -40,11776486;
     3,75;   -39,87630358;   -40,11936965;
     4,00;   -39,86480985;   -40,12448654;
     4,25;   -39,85536094;   -40,13234891;
     4,50;   -39,84765287;   -40,14221949;
     4,75;   -39,84138903;   -40,15346588;
     5,00;   -39,83629283;   -40,16559746;
     5,25;   -39,83211938;   -40,17826556;
     5,50;   -39,82866175;   -40,19124275;
     5,75;   -39,82575206;   -40,20439478;
     6,00;   -39,82325906;   -40,21765261;
     6,25;   -39,82108342;   -40,23098815;
     6,50;   -39,81915210;   -40,24439569;
     6,75;   -39,81741257;   -40,25787879;
     7,00;   -39,81582746;   -40,27144285;
     7,25;   -39,81437020;   -40,28509141;
     7,50;   -39,81302159;   -40,29882505;
     7,75;   -39,81176736;   -40,31264169;
     8,00;   -39,81059650;   -40,32653738;
     8,25;   -39,80950021;   -40,34050711;
     8,50;   -39,80847118;   -40,35454547;
     8,75;   -39,80750321;   -40,36864710;
     9,00;   -39,80659092;   -40,38280687;
     9,25;   -39,80572959;   -40,39702010;
     9,50;   -39,80491502;   -40,41128248;
     9,75;   -39,80414350;   -40,42559014;
    10,00;   -39,80341167;   -40,43993961;
;
